少子高齢	:10.1886769851
社会保障	:9.44080308227
介護保険	:9.38662867335
構造改革	:9.02345762609
年金制度	:8.9302527834
公共事業	:8.92835516034
社会保障制度	:8.80020933221
高齢社会	:8.63756097716
国民生活	:8.59497590184
基礎年金	:8.58346251573
日本経済	:8.50866788673
地方公共団体	:8.50432977097
我が国経済	:8.49147670772
景気回復	:8.48811901337
経済社会	:8.47350979381
中小企業	:8.45004736689
介護保険制度	:8.44594499055
補正予算	:8.3163483457
医療制度	:8.26996169154
抜本改革	:8.25807882978
厚生大臣	:8.253381419
雇用対策	:8.19927571839
消費税	:8.17203219607
地方分権	:7.89979318205
重要課題	:7.84250797686
セーフティーネット	:7.83772912295
公的年金	:7.80543079259
少子化対策	:7.79171182215
身体障害	:7.78705603931
国庫負担	:7.78522280225
回復軌道	:7.77953906925
ＩＴ革命	:7.76520028858
厚生年金	:7.74916432678
規制緩和	:7.72080457432
医療保険	:7.69441258133
日本共産党	:7.68397896565
厚生労働省	:7.682653054
医療保険制度	:7.65910742773
景気対策	:7.6463005592
金融機関	:7.56800189063
国民年金	:7.55650186193
法改正	:7.55102552731
内閣総理大臣	:7.54694386617
老人医療	:7.52307828741
地域社会	:7.51108290224
委員各位	:7.5077004492
賃貸住宅	:7.49686844008
国際社会	:7.48157479234
経済成長	:7.46616283561
健康保険	:7.46446094867
総理大臣	:7.4641062376
社会保険	:7.4616197365
行政改革	:7.46082809351
少子高齢社会	:7.45774201136
財政構造改革	:7.42865453246
財政状況	:7.42149458593
現役世代	:7.36575483143
環境整備	:7.36091074933
基本方針	:7.33926510628
給付水準	:7.32800969198
科学技術	:7.3262492738
財政再建	:7.30998067492
雇用情勢	:7.29384912352
支給開始年齢	:7.23683213554
関係省庁	:7.23198523768
関係大臣	:7.23153799613
情報通信	:7.22865434641
有識者会議	:7.2096371539
個人消費	:7.20921849954
介護サービス	:7.20892771825
閣議決定	:7.20722485545
基本理念	:7.19967421761
社会参加	:7.18854300368
持続可能	:7.1333306668
中央省庁	:7.12158521515
発展基盤	:7.10934440084
安全保障	:7.09941224579
保険制度	:7.09146752546
情報提供	:7.08496835888
児童手当	:7.06742912165
自己負担	:7.06350257959
公共交通機関	:7.05076967266
厚生労働大臣	:7.03374121381
教育改革	:7.0284402323
情報公開	:7.02529973552
国会議員	:7.01748842402
公営住宅	:7.01343640689
経済情勢	:7.01279080292
附帯決議	:7.00251905132
改正法案	:6.99788490786
経済構造改革	:6.9929611483
役割分担	:6.98680564174
雇用創出	:6.98386734597
