有効利用,有効利用,5
確定拠出,確定拠出,4
少子高齢,少子高齢,13
介護保険制度,介護保険制度,4
我が国経済,我が国経済,5
公共事業,公共事業,5
構造改革,構造改革,6
介護サービス,介護サービス,5
厚生年金,厚生年金,5
充実強化,充実強化,5
厚生労働省,厚生労働省,13
景気回復,景気回復,7
財政構造改革,財政構造改革,13
少子高齢,少子高齢,6
我が国経済,我が国経済,7
基礎年金,基礎年金,4
賃貸住宅,賃貸住宅,7
地域社会,地域社会,5
雇用機会,雇用機会,6
農林水産,農林水産,26
公的年金,公的年金,4
現役世代,現役世代,4
農業経営,農業経営,5
社会保障,社会保障,7
景気対策,景気対策,6
少子高齢,少子高齢,7
技術開発,技術開発,4
年金制度,年金制度,11
日本経済,日本経済,16
支給開始年齢,支給開始年齢,5
ミスマッチ,ミスマッチ,4
雇用創出,雇用創出,4
景気回復,景気回復,4
労働市場,労働市場,5
構造改革,構造改革,4
経済社会,経済社会,4
抜本改革,抜本改革,6
介護サービス,介護サービス,10
食料自給,食料自給,8
厚生大臣,厚生大臣,6
補正予算,補正予算,15
経済活動,経済活動,4
医療制度,医療制度,60
金融システム,金融システム,5
基礎年金,基礎年金,18
構造改革,構造改革,6
国会議員,国会議員,5
雇用失業情勢,雇用失業情勢,5
現役世代,現役世代,8
公的年金,公的年金,12
精神障害,精神障害,81
持続可能,持続可能,4
健康保険,健康保険,10
医療保険制度,医療保険制度,10
扶養控除,扶養控除,6
社会保障制度,社会保障制度,5
回復軌道,回復軌道,49
特別会計,特別会計,32
情報通信,情報通信,7
雇用情勢,雇用情勢,4
国庫負担,国庫負担,9
情報通信,情報通信,7
日常生活,日常生活,13
雇用情勢,雇用情勢,17
構造改革,構造改革,16
生活環境,生活環境,6
日本経済,日本経済,7
基本方針,基本方針,4
消費税,消費税,26
早期成立,早期成立,5
国民生活,国民生活,7
中小企業,中小企業,4
公共事業,公共事業,8
社会保障制度,社会保障制度,10
介護保険制度,介護保険制度,5
財政赤字,財政赤字,4
ＩＴ革命,ＩＴ革命,8
景気対策,景気対策,5
少子高齢,少子高齢,10
公共事業,公共事業,10
公共事業,公共事業,4
中小企業対策,中小企業対策,5
医療保険,医療保険,7
中小企業,中小企業,9
身体障害,身体障害,5
閣議決定,閣議決定,4
少子高齢,少子高齢,10
特別措置,特別措置,4
情報通信,情報通信,6
ＩＴ革命,ＩＴ革命,8
介護休業,介護休業,7
介護保険,介護保険,20
社会資本,社会資本,7
経済成長,経済成長,4
特例措置,特例措置,6
精神障害,精神障害,6
総理大臣,総理大臣,6
経済新生対策,経済新生対策,19
日本経済,日本経済,11
特例措置,特例措置,4
国民生活,国民生活,4
企業年金,企業年金,7
地方分権,地方分権,5
回復軌道,回復軌道,5
個人消費,個人消費,8
雇用創出,雇用創出,13
補正予算,補正予算,22
雇用対策,雇用対策,4
持続可能,持続可能,4
年金制度,年金制度,11
国民生活,国民生活,7
経済社会,経済社会,5
地域社会,地域社会,4
医療制度,医療制度,5
基盤整備,基盤整備,4
社会保険,社会保険,4
少子高齢,少子高齢,18
確定拠出年金,確定拠出年金,5
整理合理,整理合理,10
経済戦略会議,経済戦略会議,5
我が国経済,我が国経済,16
財政再建,財政再建,10
地方公共団体,地方公共団体,4
国民負担,国民負担,5
国民生活,国民生活,4
我が国経済,我が国経済,33
国民年金,国民年金,6
補正予算,補正予算,4
少子高齢,少子高齢,13
充実強化,充実強化,7
基礎年金,基礎年金,6
診療報酬,診療報酬,6
重要課題,重要課題,5
経済構造改革,経済構造改革,9
年金給付,年金給付,5
定期借家,定期借家,5
改正法案,改正法案,6
基礎年金,基礎年金,59
介護保険,介護保険,24
